author	id
Barry Bonds	952
Barry Commoner	953
Barry Corbin	954
Barry Cornwall	955
Barry Diller	956
Barry Gibb	957
Barry Goldwater	958
Barry Hannah	959
Barry Levinson	960
Barry Lopez	961
Barry Manilow	962
Barry Mann	963
Barry McCaffrey	964
Barry McGuigan	965
Barry McGuire	966
Barry Sanders	967
Barry Switzer	968
Barry Took	969
Barry White	970
Barry Williams	971
Barry Zito	972
Bart Starr	973
Baruch Spinoza	974
Bashar al-Assad	975
Basil Bunting	976
Basil Hume	977
Bayard Rustin	978
Baz Luhrmann	979
Beah Richards	980
Beanie Sigel	981
Bear Bryant	982
Bear Grylls	983
Beatrice Dalle	984
Beatrice Webb	985
Beatrice Wood	986
Beatrix Potter	987
Beau Bridges	988
Bebe Neuwirth	989
Beck	990
Bede Griffiths	991
Bede Jarrett	992
Bela Kun	993
Bela Lugosi	994
Bell Hooks	995
Ben Affleck	996
Ben Barnes	997
Ben Bernanke	998
Ben Crenshaw	999
Ben E. King	1000
Ben Elton	1001
Ben Folds	1002
Ben Fountain	1003
Ben Gazzara	1004
Ben Harper	1005
Ben Hecht	1006
Ben Hogan	1007
Ben Jackson	1008
Ben Jonson	1009
Ben Kingsley	1010
Ben Lindsey	1011
Ben Lovett	1012
Ben Maddow	1013
Ben Nelson	1014
Ben Nicholas	1015
Ben Nicholson	1016
Ben Nighthorse Campbell	1017
Ben Okri	1018
Ben Quayle	1019
Ben Rattray	1020
Ben Savage	1021
Ben Shahn	1022
Ben Stein	1023
Ben Stiller	1024
Ben Sweetland	1025
Ben Vereen	1026
Benazir Bhutto	1027
Benedict Cumberbatch	1028
Benicio Del Toro	1029
Benito Mussolini	1030
Benjamin Banneker	1031
Benjamin Bratt	1032
Benjamin Britten	1033
Benjamin Cardozo	1034
Benjamin Carson	1035
Benjamin Day	1036
Benjamin Disraeli	1037
Benjamin E. Mays	1038
Benjamin F. Wade	1039
Benjamin Franklin	1040
Benjamin Franklin Fairless	1041
Benjamin Haydon	1042
Benjamin Hoff	1043
Benjamin Jowett	1044
Benjamin Millepied	1045
Benjamin Netanyahu	1046
Benjamin Spock	1047
Benjamin Todd Jealous	1048
Benjamin Tucker	1049
Benjamin Walker	1050
Benjamin Whichcote	1051
Bennett Cerf	1052
Bennett Miller	1053
Bennie Thompson	1054
Benno C. Schmidt, Jr.	1055
Benny Green	1056
Benny Hill	1057
Benny Hinn	1058
Berenice Abbott	1059
Berenice Bejo	1060
Berenice Marlohe	1061
Berkeley Breathed	1062
Bernadette Devlin	1063
Bernadette Peters	1064
Bernadine Dohrn	1065
Bernard Baruch	1066
Bernard Berenson	1067
Bernard Cornwell	1068
Bernard de Mandeville	1069
Bernard De Voto	1070
Bernard Ebbers	1071
Bernard Hinault	1072
Bernard Law Montgomery	1073
Bernard Levin	1074
Bernard Liautaud	1075
Bernard Loiseau	1076
Bernard Manning	1077
Bernard Meltzer	1078
Bernard Sanders	1079
Bernard Williams	1080
Bernardo Bertolucci	1081
Bernhard Langer	1082
Bernice Johnson Reagon	1083
Bernice Weissbourd	1084
Bernie Mac	1085
Bernie Sanders	1086
Bernie Taupin	1087
Bert Campaneris	1088
Bert Williams	1089
Berthe Morisot	1090
Berthold Auerbach	1091
Bertolt Brecht	1092
Bertrand Russell	1093
Bess Truman	1094
Bessie Coleman	1095
Bessie Head	1096
Beth Anderson	1097
Beth Ditto	1098
Beth Henley	1099
Bethenny Frankel	1100
Betsey Johnson	1101
Bette Davis	1102
Bette Midler	1103
Bettie Page	1104
Betty Buckley	1105
Betty Dodson	1106
Betty Ford	1107
Betty Friedan	1108
Betty Hill	1109
Betty White	1110
Bev Perdue	1111
Beverley Mitchell	1112
Beverley Nichols	1113
Beverly Cleary	1114
Beverly Sills	1115
Beyonce Knowles	1116
Bharati Mukherjee	1117
Bhumibol Adulyadej	1118
Bianca Jagger	1119
Big Boi	1120
Big Sean	1121
Bijou Phillips	1122
Bil Keane	1123
Bilawal Bhutto Zardari	1124
Bill Alexander	1125
Bill Ayers	1126
Bill Berry	1127
Bill Blass	1128
Bill Bowerman	1129
Bill Bradley	1130
Bill Brandt	1131
Bill Bryson	1132
Bill Budge	1133
Bill Condon	1134
Bill Conti	1135
Bill Copeland	1136
Bill Cosby	1137
Bill Dana	1138
Bill Forsyth	1139
Bill Frist	1140
Bill Gates	1141
Bill Goldberg	1142
Bill Griffith	1143
Bill Hicks	1144
Bill Hunter	1145
Bill Hybels	1146
Bill James	1147
Bill Keller	1148
Bill Kreutzmann	1149
Bill Kristol	1150
Bill Kurtis	1151
Bill Laswell	1152
Bill Lee	1153
Bill Maher	1154
Bill Mauldin	1155
Bill McCartney	1156
Bill McCollum	1157
Bill Monroe	1158
Bill Moyers	1159
Bill Mumy	1160
Bill Murray	1161
Bill Nelson	1162
Bill Nighy	1163
Bill Nye	1164
Bill O'Reilly	1165
Bill Owens	1166
Bill Parcells	1167
Bill Pascrell	1168
Bill Pullman	1169
Bill Rancic	1170
Bill Richardson	1171
Bill Rodgers	1172
Bill Russell	1173
Bill Scott	1174
Bill Shankly	1175
Bill Shuster	1176
Bill Sienkiewicz	1177
